Bolagsnamn,Org.nr,Besöksadress,Postnr,Ort,Kommun,Omsättning (Mkr),Omsättningsår,Anställda,Grundat,Hemsida,Mejl,Status
Blomdell Invest AB,5567532642,Haga Kyrkogata 26,411 23,Göteborg,Göteborg,0,2025,0,2008,,,Ny kandidat
Blinkstaff AB,5595544957,Alsjöredsvägen 6,443 72,Gråbo,Lerum,,,1-4,2025,,,Ny kandidat
Birk Recruitment & HR AB,5593004244,Boplatsringen 29,138 40,Älta,Nacka,0,2025,0,2021,,,Ny kandidat
Biophavia AB,5569590143,Helgevägen 6,182 54,Djursholm,Danderyd,0,2024,0,2014,,,Ny kandidat
Bikes and cars Gbg AB,5594205964,Beväringsgatan 11,415 24,Göteborg,Göteborg,0,2024,0,2023,,,Ny kandidat
Berra Management AB,5569448128,Ortalavägen 244,764 91,Väddö,Norrtälje,0,2025,0,2013,,,Ny kandidat
Bergslagens Jobbcenter AB,5593250045,Poppelvägen 2 a,774 34,Avesta,Avesta,0,2024,0,2021,,,Ny kandidat
Bengtsson Konsult Sverige AB,5592671589,Timjansgatan 185,754 47,Uppsala,Uppsala,0,2025,0,2020,,,Ny kandidat
Bendt Business AB,5594052986,Tjädergatan 25,426 69,Västra Frölunda,Göteborg,0,2025,0,2022,,,Ny kandidat
Behavioral Scince i Stockholm AB,5592720378,Nidarosgatan 7 Lgh 1201,164 34,Kista,Stockholm,0,2025,0,2020,,,Ny kandidat
BeatiSimus AB,5591595086,Sjöliden 28,393 51,Kalmar,Kalmar,0,2024,1,2018,,,Ny kandidat
Be Proud AB,5592455850,Dalagatan 52,113 24,Stockholm,Stockholm,0,2025,0,2020,,,Ny kandidat
BayInCo Sales & Marketing AB,5595475608,Datavägen 14 a,436 32,Askim,Göteborg,,,0,2025,,,Ny kandidat
Bastide Consulting AB,5567596449,Box 21,182 05,Djursholm,Danderyd,0,2025,0,2008,,,Ny kandidat
Bagge & Carlborg AB,5566806989,Lugna Gatan 54,802 75,Gävle,Gävle,0,2025,0,2005,,,Ny kandidat
Barbarossa Rekrytering & Bemanning AB,5594083247,Sundholmen Sundslid,516 92,Äspered,Borås,0,2025,0,2022,,,Ny kandidat
Barate AB,5594661513,Industrigatan 11,802 83,Gävle,Gävle,0,2025,0,2024,,,Ny kandidat
Banktalanger i Norden AB,5595589564,Klarabergsgatan 60,111 21,Stockholm,Stockholm,,,0,2025,,,Ny kandidat
BaatzConsulting AB,5590753819,Lilla Hovåsvägen 15,436 52,Hovås,Göteborg,0,2024,0,2016,,,Ny kandidat
BS Betong AB,5594868043,Björnstiernas Väg 36 a,176 76,Järfälla,Järfälla,0,2024,1,2024,,,Ny kandidat
BOR AB,5568512163,Uranstigen 12,587 29,Linköping,Linköping,0,2025,0,2011,,,Ny kandidat
BOKA Vårdkompetens i Norden Aktiebolag,5565798708,Pontonjärgatan 3,112 22,Stockholm,Stockholm,0,2025,0,1999,,,Ny kandidat
BL Personal AB,5591567713,Smidesvägen 2,245 34,Staffanstorp,Staffanstorp,0,2025,0,2018,,,Ny kandidat
BJH Consulting AB,5591083992,Rindögatan 10,115 36,Stockholm,Stockholm,0,2025,1,2017,,,Ny kandidat
B-DOOR AB,5592509672,Stockholmsvägen 55 d,181 32,Lidingö,Lidingö,0,2024,0,2020,,,Ny kandidat
Azinter Scandinavia AB,5569801839,"c/o Azinter, Brogatan 23",334 33,Anderstorp,Gislaved,0,2025,0,2014,,,Ny kandidat
Aynos AB,5567859706,Polhemsgatan 18,152 40,Södertälje,Södertälje,0,2025,0,2009,,,Ny kandidat
Axi Temp AB,5595171744,Apotekarevägen 30,237 32,Bjärred,Lomma,,,0,2025,,,Ny kandidat
Awexia Consulting AB,5594545641,Hovslagargatan 5 b,111 48,Stockholm,Stockholm,0,2025,0,2023,,,Ny kandidat
Avoda Baruch Company AB,5592519176,Traktorvägen 2,617 71,Kimstad,Norrköping,0,2025,0,2020,,,Ny kandidat
Avielu AB,5595611822,Rosendalsvägen 4,374 50,Asarum,Karlshamn,,,0,2025,,,Ny kandidat
Avalon Health AB,5593037483,Strandskogsvägen 17,178 41,Ekerö,Ekerö,0,2025,0,2021,,,Ny kandidat
Auto Matchning Sverige AB,5594824632,Isafjordsgatan 39 b,164 40,Kista,Stockholm,0,2025,1-4,2024,,,Ny kandidat
Avento Partners AB,5595464651,Solkraftsvägen 14 a,135 70,Stockholm,Stockholm,,,0,2025,,,Ny kandidat
Avendo AB,5594697384,"c/o AVENDO AB, Ljungheden 1",944 72,Piteå,Piteå,0,2025,0,2024,,,Ny kandidat
Auctus Försvar AB,5595292615,Thorells Gata 12,582 55,Linköping,Linköping,,,0,2025,,,Ny kandidat
Attrahera ledarskap AB,5565231916,Knapehall 34,436 39,Askim,Göteborg,0,2025,1,1995,,,Ny kandidat
Attelas AB,5568509573,Tomegapsgatan 7,223 50,Lund,Lund,0,2025,0,2011,,,Ny kandidat
Atletpoolen AB,5595548735,Gubbkärrsvägen 29 h,168 40,Bromma,Stockholm,,,1-4,2025,,,Ny kandidat
Atlas Care AB,5592435191,S:T Johannesgatan 3 l,211 46,Malmö,Malmö,0,2026,0,2020,,,Ny kandidat
Athletic Solutions i Stockholm AB,5568108723,Båtsmansvägen 29 a,192 48,Sollentuna,Sollentuna,0,2024,0,2010,,,Ny kandidat
Astar Workforce AB,5595888131,Solna Torg 3,171 45,Solna,Solna,,,1-4,2026,,,Ny kandidat
Assistor24 Nordic AB,5595583278,Ångkvarnsvägen 6,178 51,Ekerö,Ekerö,,,0,2025,,,Ny kandidat
Asqill AB,5591274534,Sätraängsvägen 106 Lgh 1101,182 37,Danderyd,Danderyd,0,2025,0,2017,,,Ny kandidat
Aspirantus AB,5591249353,Skogängsvägen 7 a,163 49,Spånga,Stockholm,0,2025,0,2017,,,Ny kandidat
Asianspower AB,5595387571,Östra Ljungby 4308,264 71,Östra Ljungby,Klippan,,,0,2025,,,Ny kandidat
Asentum AB,5594587783,Strömpilsplatsen 11,907 43,Umeå,Umeå,0,2025,1,2023,,,Ny kandidat
Aschan & Co AB,5568033731,Ekmansgatan 7,412 56,Göteborg,Göteborg,0,2025,0,2010,,,Ny kandidat
Asap IT AB,5568090590,Sellerigatan 7,754 49,Uppsala,Uppsala,0,2025,1,2010,,,Ny kandidat
Artist 1 Aktiebolag,5566636469,Norr Mälarstrand 16,112 20,Stockholm,Stockholm,0,2025,0,2004,,,Ny kandidat
Arcus Resurs AB,5590561980,Långgatan 13,541 40,Skövde,Skövde,0,2024,0,2016,,,Ny kandidat
Arc Logic AB,5594694969,Östra Hamngatan 52,411 08,Göteborg,Göteborg,0,2025,0,2024,,,Ny kandidat
Arbetspunkten Sverige AB,5591689988,Slädgatan 7 d D1103,211 75,Malmö,Malmö,0,2024,0,2018,,,Ny kandidat
Arbetspoolen Sverige AB,5591269567,Mejselvägen 44,126 38,Hägersten,Stockholm,0,2025,0,2017,,,Ny kandidat
Arbetskonsulten i Hälsingland AB,5590252374,Kopparbergsvägen 22 a,722 13,Västerås,Västerås,0,2025,0,2015,,,Ny kandidat
Arbetsfokus Sverige AB,5595562447,Industrigatan 68,261 35,Landskrona,Landskrona,,,0,2025,,,Ny kandidat
Arbetscoacherna i Väst AB,5595588350,Bäckgatan 38,432 46,Varberg,Varberg,,,0,2025,,,Ny kandidat
Annika von Sydow Rekrytering AB,5567344071,Norra Folkavi Nygård,719 91,Vintrosa,Lekeberg,0,2024,1,2007,,,Ny kandidat
Anställa Lundin och Carlberg AB,5592153224,"c/o NILS CARLBERG, Lokevägen 12 b",132 35,Saltsjö-Boo,Nacka,0,2025,0,2019,,,Ny kandidat
Anidea AB,5590503925,Vättnedalsvägen 8 a,421 59,Västra Frölunda,Göteborg,0,2025,0,2016,,,Ny kandidat
Angelique Engvall AB,5568347354,Kartvägen 6,136 65,Söderby,Haninge,0,2025,0,2010,,,Ny kandidat
André Hellström Consulting AB,5569039257,Dressyrvägen 31,857 52,Sundsvall,Sundsvall,0,2025,0,2012,,,Ny kandidat
Andersson & Hedell Rekrytering AB,5594513250,Långgatan 13,541 40,Skövde,Skövde,0,2025,0,2023,,,Ny kandidat
Anders Enström Consulting AB,5593588204,Love Almqvists Väg 8,112 53,Stockholm,Stockholm,0,2025,0,2022,,,Ny kandidat
Anatto Group AB,5567145536,Sveavägen 98,113 50,Stockholm,Stockholm,0,2025,0,2006,,,Ny kandidat
Amelias bemanning och städ AB,5595890004,Svartbyleden 57 b,961 40,Boden,Boden,,,5-9,2026,,,Ny kandidat
Alpana AB,5592655178,"c/o SAEED MOHAMMAD HORMOZY, Herrängsvägen 32 a",125 54,Älvsjö,Stockholm,0,2024,0,2020,,,Ny kandidat
Alumni Growth AB,5569577678,Kungsbron 1,111 22,Stockholm,Stockholm,0,2025,0,2014,,,Ny kandidat
Altivo kompetens AB,5595862482,Flormansgatan 10,223 54,Lund,Lund,,,0,2026,,,Ny kandidat
Almacigaträdet AB,5567996144,Sibeliusgången 46,164 72,Kista,Stockholm,0,2025,0,2010,,,Ny kandidat
Alm Karriär AB,5595420604,Rudenschöldsgatan 14 a,417 40,Göteborg,Göteborg,,,0,2025,,,Ny kandidat
Alla Bitar AB,5568479215,Järnåkravägen 5 b Lgh 1301,222 25,Lund,Lund,0,2024,0,2011,,,Ny kandidat
Algot Engström AB,5590051586,Rindögatan 23,115 58,Stockholm,Stockholm,0,2025,1,2015,,,Ny kandidat
Alfa Rekrytering AB,5566927769,Banérgatan 77,115 53,Stockholm,Stockholm,0,2025,1,2005,,,Ny kandidat
Alfa Karriär College AB,5594715657,Fyrspannsgatan 151 Lgh 1202,165 64,Hässelby,Stockholm,0,2025,0,2024,,,Ny kandidat
Alexander Hughes Sweden AB,5567149629,Stureplan 4 4tr,114 35,Stockholm,Stockholm,0,2024,0,2006,,,Ny kandidat
Aletti Rekrytering & Bemanning AB,5595876714,Värdshusvägen 10,145 50,Norsborg,Botkyrka,,,1-4,2026,,,Ny kandidat
Aktiva Jobb i Sverige AB,5592333776,Hisingsgatan 28,417 03,Göteborg,Göteborg,0,2024,0,2019,,,Ny kandidat
Aktiebolaget Söder & Co Region Öst,5568120512,Fabriksgatan 8,503 38,Borås,Borås,0,2025,0,2010,,,Ny kandidat
Aktiebolaget Orpon & Gremeljer AB,5591670012,Filmgatan 19 Lägenhets Nr: 1303,169 33,Solna,Solna,0,2024,1,2018,,,Ny kandidat
Aktiebolag JEP,5593606055,"c/o ISAK LIDSTRÖM, Tarfalavägen 1 f",981 44,Kiruna,Kiruna,0,2024,0,2022,,,Ny kandidat
Akind Horizons AB,5590427281,Gamla Tanneforsvägen 92,582 52,Linköping,Linköping,0,2024,0,2015,,,Ny kandidat
Aidem Ten AB,5592755770,"c/o Jan Pyrell Advokatbyrå, Värendsgatan 43",352 35,Växjö,Växjö,0,2023,0,2020,,,Ny kandidat
AgriPartners Scandinavia AB,5595209593,Sotaregatan 3,621 53,Visby,Gotland,,,0,2025,,,Ny kandidat
Agile Search Group AB,5593257305,Sankt Eriksgatan 48 f,112 34,Stockholm,Stockholm,0,2025,5-9,2021,,,Ny kandidat
Agila School AB,5591765424,"c/o UNITED SPACES, Götgatan 22 a",118 46,Stockholm,Stockholm,0,2023,0,2018,,,Ny kandidat
Ager Solutions AB,5594763111,Katjavägen 4,461 58,Trollhättan,Trollhättan,0,2025,0,2024,,,Ny kandidat
Agentum Rekrytering AB,5591573018,"c/o co Talent Venture Group, Box 3053",103 61,Stockholm,Stockholm,0,2024,0,2018,,,Ny kandidat
Agentia Free Agent Network AB,5568390552,Fårövägen 22 2tr,624 62,Fårösund,Gotland,0,2025,0,2011,,,Ny kandidat
Affect AB,5590726880,Marieholmsgatan 42,415 02,Göteborg,Göteborg,0,2025,0,2016,,,Ny kandidat
Adwork AB,5568875669,Slöjdgatan 9,852 34,Sundsvall,Sundsvall,0,2025,0,2012,,,Ny kandidat
Adiuvamus AB,5595647081,Johanneshovsvägen 112,120 50,Årsta,Stockholm,,,1-4,2025,,,Ny kandidat
Addly Competence AB,5594309881,Södra Fiskartorpsvägen 20,114 33,Stockholm,Stockholm,0,2025,1,2023,,,Ny kandidat
Adding People VG AB,5595404137,Brunnsgatan 20,553 17,Jönköping,Jönköping,,,5-9,2025,,,Ny kandidat
Advante Kliniken AB,5593226227,Tallmossevägen 22,433 50,Öjersjö,Partille,0,2024,0,2021,,,Ny kandidat
Acemil Holding AB,5590085089,Gyllenstiernsgatan 16,115 26,Stockholm,Stockholm,0,2025,0,2015,,,Ny kandidat
AcademNord AB,5594788860,"c/o JOHANNES HOLM, Ulrikedalsvägen 31 e Lgh 1117",224 58,Lund,Lund,0,2025,0,2024,,,Ny kandidat
Abyan Consulting AB,5593715542,Mellangården 6 Lgh 1201,586 43,Linköping,Linköping,0,2025,0,2022,,,Ny kandidat
AT onsite AB,5593265944,Box 8,146 21,Tullinge,Botkyrka,0,2025,0,2021,,,Ny kandidat
AS&B Talents AB,5590379771,Kungsgatan 41,582 18,Linköping,Linköping,0,2025,0,2015,,,Ny kandidat
AP Kraft Bemanning AB,5595646323,Wahlströms Väg 12 h,611 38,Nyköping,Nyköping,,,0,2025,,,Ny kandidat
AIM by Fischer AB,5594118936,"c/o Maria Fischer, Idrottsvägen 13",633 69,Skogstorp,Eskilstuna,0,2024,0,2022,,,Ny kandidat
AI Nordic Search AB,5565731725,Blasieholmsgatan 5 6tr,111 48,Stockholm,Stockholm,0,2025,0,1999,,,Ny kandidat
AI Executive Search Pokorny AB,5592317605,Fasanstigen 3,443 32,Lerum,Lerum,0,2025,0,2019,,,Ny kandidat
AI Executive Search Christian Persson AB,5567835912,Norrlandsgatan 20,111 43,Stockholm,Stockholm,0,2025,0,2009,,,Ny kandidat
AI Executive Search Boke AB,5592317597,Cedergatan 7,426 74,Västra Frölunda,Göteborg,0,2025,0,2019,,,Ny kandidat
AF Appelqvist Consulting AB,5590126818,Riddargatan 70,114 57,Stockholm,Stockholm,0,2025,0,2015,,,Ny kandidat
AD Human AB,5568747348,Södra Vägen 6,412 54,Göteborg,Göteborg,0,2025,0,2011,,,Ny kandidat
AARA AB,5592577406,Fiskmåsvägen 101,123 53,Farsta,Stockholm,0,2025,0,2020,,,Ny kandidat
A.M.B Consulting AB,5569912982,Högvägen 12,131 42,Nacka,Nacka,0,2025,0,2014,,,Ny kandidat
A.H.R recruitment AB,5595531871,Sågspånsgatan 2,416 80,Göteborg,Göteborg,,,0,2025,,,Ny kandidat
A.Ekela AB,5592870835,Eldsundsstråket 9 a Lgh 1203,645 35,Strängnäs,Strängnäs,0,2025,1,2020,,,Ny kandidat
A-Talent Holding Sweden AB,5593149676,Skrivaregatan 21,215 32,Malmö,Malmö,0,2025,0,2021,,,Ny kandidat
A-Talent Group Sweden AB,5592062508,Landsvägen 57 a,172 65,Sundbyberg,Sundbyberg,0,2025,0,2019,,,Ny kandidat
A&S Medical Consulting AB,5593693491,Pon 519-I Billo,106 46,Stockholm,Stockholm,0,2025,0,2022,,,Ny kandidat
280 Talent Group AB,5568644495,Strandvägen 7 a,114 56,Stockholm,Stockholm,0,2025,0,2011,,,Ny kandidat
26by20 Group AB,5592403397,Ugglegården 38,436 58,Hovås,Göteborg,0,2025,0,2020,,,Ny kandidat
1337 Sourcing Sverige AB,5594584764,Klarabergsviadukten 90 Hus c,111 64,Stockholm,Stockholm,0,2025,0,2023,,,Ny kandidat
10X People AB,5590908025,Styckjunkargatan 1,114 35,Stockholm,Stockholm,0,2025,0,2016,,,Ny kandidat
@peopleHub AB,5595410050,Bagargränd 11,128 67,Sköndal,Stockholm,,,0,2025,,,Ny kandidat
4P Consulting AB,5595531095,Slottsgatan 24,211 33,Malmö,Malmö,,,0,2025,,,Ny kandidat
.me Recruitment Partner Sweden AB,5595261701,Sickla Allé 43,131 65,Nacka,Nacka,,,0,2025,,,Ny kandidat
workbee AB,5593165656,"c/o Mikael Rönnqvist, Sandelsgatan 27",115 34,Stockholm,Stockholm,0,2025,0,2021,,,Ny kandidat
uP AB,5593276180,Filipstadsbacken 46,123 43,Farsta,Stockholm,0,2025,1-4,2021,,,Ny kandidat
Zalvi AB,5595761130,Vanadisvägen 2,113 46,Stockholm,Stockholm,,,0,2026,,,Ny kandidat
ZOY CAB Services AB,5595173468,"c/o MUHAMMAD AWAIS UR REHMAN, Box 346",116 74,Stockholm,Stockholm,,,0,2025,,,Ny kandidat
ZMIND Bemanning AB,5590537675,Sjöviksvägen 16,117 60,Stockholm,Stockholm,0,2025,0,2016,,,Ny kandidat
ZLIP Intressenter AB,5566959085,"c/o Enaco AB, Box 1201",164 28,Kista,Stockholm,0,2024,0,2006,,,Ny kandidat
Yuka AB,5595559880,Bjursätragatan 35,124 62,Bandhagen,Stockholm,,,0,2025,,,Ny kandidat
Youradvisors Nordic AB,5591712434,Alströmergatan 36,112 47,Stockholm,Stockholm,0,2024,0,2018,,,Ny kandidat
YOUMI Läkarbemanning AB,5591759906,"c/o UNITED SPACES, Götgatan 22 a",118 46,Stockholm,Stockholm,0,2023,0,2018,,,Ny kandidat
William Widlund AB,5595634147,Sysslomansgatan 11,112 41,Stockholm,Stockholm,,,0,2025,,,Ny kandidat
Wecura Care AB,5595168492,Varuvägen 9,125 30,Älvsjö,Stockholm,0,2025,0,2025,,,Ny kandidat
Work Match Arbetsmarknad Skandinavien AB,5567900765,Sveavägen 168,113 46,Stockholm,Stockholm,0,2024,0,2009,,,Ny kandidat
YARI Transport AB,5592465792,"c/o 7wise advokatbyrå, Kungsgatan 56",111 22,Stockholm,Stockholm,0,2023,0,2020,,,Ny kandidat
XenixPharma AB,5591871404,Bockfjällsvägen 7,163 43,Spånga,Stockholm,0,2024,0,2018,,,Ny kandidat
We Connect Care Sweden AB,5592652142,Sankt Eriksgatan 117,113 43,Stockholm,Stockholm,0,2024,5-9,2020,,,Ny kandidat
WalkUp Sales AB,5595367722,"c/o AKONO AB, Västberga Allé 36 a",126 30,Hägersten,Stockholm,,,0,2025,,,Ny kandidat
WEJ-G Konsult AB,5594518721,"c/o Advokatfirman Schjødt AS, Box 715",101 33,Stockholm,Stockholm,,,0,2023,,,Ny kandidat
WEASSURE Scandinavia Aktiebolag,5569598518,Ringvägen 92,118 60,Stockholm,Stockholm,0,2025,0,2014,,,Ny kandidat
WAIM AB,5591496731,Fyrverkarbacken 38,112 60,Stockholm,Stockholm,0,2026,0,2018,,,Ny kandidat
Vårdstark AB,5591680821,Båtsman Stens Väg 26 a,163 41,Spånga,Stockholm,0,2025,0,2018,,,Ny kandidat
Vårdkraft Sverige AB,5595947390,Sergelgatan 11,111 57,Stockholm,Stockholm,,,0,2026,,,Ny kandidat
Viacare Sverige AB,5590184379,Arvikagatan 31,123 43,Farsta,Stockholm,0,2025,1-4,2015,,,Ny kandidat
Vanadiskonsulterna AB,5593990723,Karlbergsvägen 7,113 27,Stockholm,Stockholm,0,2025,0,2022,,,Ny kandidat
Valora bemanning AB,5594218157,Färögatan 33,164 51,Kista,Stockholm,0,2025,1-4,2023,,,Ny kandidat
Vadar Invest AB,5568487150,Karlbergsvägen 23,113 27,Stockholm,Stockholm,0,2025,0,2011,,,Ny kandidat
UBIL Consulting AB,5592207533,Förmansvägen 25,117 59,Stockholm,Stockholm,0,2026,1,2019,,,Ny kandidat
Trädcompaniet Mälardalen AB,5594730300,Box 527,116 74,Stockholm,Stockholm,0,2026,1,2024,,,Ny kandidat
Thesslin Consulting AB,5591652549,Oskarslundsbacken 28,117 54,Stockholm,Stockholm,0,2025,0,2018,,,Ny kandidat
The Foodfather AB,5594545203,Bäckaskiftsvägen 18,122 42,Enskede,Stockholm,0,2025,1-4,2023,,,Ny kandidat
The First Impression Company Entreprenad AB,5595525741,Brunnsgatan 21,111 38,Stockholm,Stockholm,,,5-9,2025,,,Ny kandidat
TrustBee AB,5591864961,"c/o Keeada AB, Kivra: 5592451958",106 31,Stockholm,Stockholm,0,2025,0,2018,,,Ny kandidat
Texab AB,5561192989,Åsögatan 135,116 24,Stockholm,Stockholm,0,2025,0,1968,,,Ny kandidat
Terapivamio AB,5595778381,Nykvarnsvägen 5,122 64,Enskede,Stockholm,,,0,2026,,,Ny kandidat
Telefonsupporten i Stockholm AB,5594613506,Box 90227,120 23,Stockholm,Stockholm,0,2025,0,2023,,,Ny kandidat
TOPLIMO International AB,5595241307,Vårbergsvägen 75 c,127 43,Skärholmen,Stockholm,,,1-4,2025,,,Ny kandidat
Talent Pool Sweden AB,5594344896,Snödroppsgränd 37,165 74,Hässelby,Stockholm,0,2025,1,2023,,,Ny kandidat
TRIAKO AB,5592418809,Flygfältsgatan 8 d,128 31,Skarpnäck,Stockholm,0,2025,0,2020,,,Ny kandidat
Sverek Socionom AB,5590714787,Kapellgränd 3,116 25,Stockholm,Stockholm,0,2025,0,2016,,,Ny kandidat
Svenska Nordic Safety Group AB,5568114630,Russinvägen 1,123 59,Farsta,Stockholm,0,2025,0,2010,,,Ny kandidat
Svenska Access Solutions AB,5595412247,Sankt Eriksgatan 63,112 34,Stockholm,Stockholm,,,0,2025,,,Ny kandidat
Svensk Personaluthyrning AB,5569466229,Ringvägen 106,116 61,Stockholm,Stockholm,0,2025,0,2013,,,Ny kandidat
Svearoad group AB,5568656218,Stora Skuggans Väg 9 c,115 42,Stockholm,Stockholm,0,2025,0,2011,,,Ny kandidat
Svea Soft Services AB,5595398552,Forshagagatan 25 Lgh 1001,123 31,Farsta,Stockholm,,,0,2025,,,Ny kandidat
Stockholms Infrakonsult AB,5594525775,"c/o WE Advokater, Hantverkargatan 26",112 21,Stockholm,Stockholm,,,0,2023,,,Ny kandidat
Studio Cavallin AB,5594579541,"c/o Simon Cavallin, Burspråksvägen 7",121 47,Johanneshov,Stockholm,0,2024,0,2023,,,Ny kandidat
Star support AB,5591793905,Grev Turegatan 11 a,114 46,Stockholm,Stockholm,0,2025,0,2018,,,Ny kandidat
Stadskraft AB,5567431084,Fågelstavägen 52,124 33,Bandhagen,Stockholm,0,2025,1-4,2007,,,Ny kandidat
Snabbmedia Personal AB,5592925472,Tullvaktsvägen 2,115 56,Stockholm,Stockholm,0,2025,0,2020,,,Ny kandidat
Softronic Dokumentkompetens AB,5566829809,Hammarby Kaj 10 a,120 32,Stockholm,Stockholm,0,2025,0,2005,,,Ny kandidat
Skarpnäck Bilteknik AB,5594474289,Fraktflygargatan 2/18 Mekonomen Bilverkstad,128 30,Skarpnäck,Stockholm,0,2024,1-4,2023,,,Ny kandidat
Show Time Medic AB,5594356072,Eriksbergsgatan 10 1tr,114 30,Stockholm,Stockholm,0,2025,0,2023,,,Ny kandidat
Sharoz Trading AB,5569022188,"c/o MUHAMMAD AWAIS UR REHMAN, Box 346",116 74,Stockholm,Stockholm,0,2024,0,2012,,,Ny kandidat
Sevill AB,5595237529,Katarina Bangata 79,116 42,Stockholm,Stockholm,,,0,2025,,,Ny kandidat
Seven AB,5568939572,Nykroppagatan 38,123 32,Farsta,Stockholm,0,2025,0,2012,,,Ny kandidat
Serviceteamet SWEDEN AB,5594910357,Farstavägen 153,123 32,Farsta,Stockholm,,,1-4,2024,,,Ny kandidat
Sedal Bemanning AB,5594475583,"c/o ARSLAN, Oxelvägen 34 Lgh 1603",138 31,Älta,Stockholm,,,0,2023,,,Ny kandidat
Scandinavian Road Support AB,5568952534,Gimmerstavägen 10,125 71,Älvsjö,Stockholm,0,2025,1,2012,,,Ny kandidat
Sapienta AB,5594136466,Box 7337,103 90,Stockholm,Stockholm,0,2025,0,2022,,,Ny kandidat
Sanaliv Bemanning AB,5593778722,Kungsgatan 8,111 43,Stockholm,Stockholm,0,2024,0,2022,,,Ny kandidat
SV Restaurangkonsult AB,5592940653,Årstaskogs Väg 7 c,117 55,Stockholm,Stockholm,0,2025,0,2020,,,Ny kandidat
SOMAO AB,5591103501,Tensta Allé 44 5tr,163 64,Spånga,Stockholm,0,2025,0,2017,,,Ny kandidat
SABHAN AB,5594079898,Helsingörsgatan 37,164 44,Kista,Stockholm,0,2025,0,2022,,,Ny kandidat
S Clean & Bemanning 4 U AB,5590280862,Sankt Eriksgatan 66,113 20,Stockholm,Stockholm,0,2025,0,2015,,,Ny kandidat
Roleho I AB,5595059204,Karlbergsvägen 46 a,113 37,Stockholm,Stockholm,,,0,2024,,,Ny kandidat
Respons Bemanning Sverige AB,5593547663,Götgatan 59 a,116 21,Stockholm,Stockholm,0,2025,0,2021,,,Ny kandidat
Requiped AB,5593281982,Terrassvägen 9,167 52,Bromma,Stockholm,0,2025,0,2021,,,Ny kandidat
Restaurang Maestro AB,5590289822,Ringvägen 82,118 60,Stockholm,Stockholm,0,2025,0,2015,,,Ny kandidat
Rena Teknik Sverige AB,5595936187,Grimstagatan 59,162 57,Vällingby,Stockholm,,,0,2026,,,Ny kandidat
Rekpartner AB,5595474676,Sibeliusgången 24,164 77,Kista,Stockholm,,,0,2025,,,Ny kandidat
Reflekt Bemanning AB,5592991565,Götgatan 22 a,118 46,Stockholm,Stockholm,0,2024,0,2021,,,Ny kandidat
Red Dog Consulting AB,5569603680,Erik Dahlbergsgatan 19,114 31,Stockholm,Stockholm,0,2025,0,2014,,,Ny kandidat
RKD Transport & Bemanning AB,5595143248,Kanngjutargränd 1 Lgh 2006,162 57,Vällingby,Stockholm,,,20-49,2025,,,Ny kandidat
R&B Teamwork AB,5594256801,Bjursätragatan 92,124 64,Bandhagen,Stockholm,0,2025,0,2023,,,Ny kandidat
Qvikargo AB,5569139271,Odengatan 104,113 22,Stockholm,Stockholm,0,2025,0,2012,,,Ny kandidat
QuraZone Finland Ab Filial,5164089731,"c/o Certivo, Klyftvägen 11",167 33,Bromma,Stockholm,,,0,2014,,,Ny kandidat
QDV Consulting AB,5592947658,Tappvägen 29,168 78,Bromma,Stockholm,0,2024,0,2021,,,Ny kandidat
Provantum AB,5593157315,Ölmevägen 36,123 32,Farsta,Stockholm,0,2025,0,2021,,,Ny kandidat
Prometheus Bemanning AB,5594250903,Holbergsgatan 179,168 45,Bromma,Stockholm,0,2025,0,2023,,,Ny kandidat
Prokansa AB,5568975808,"c/o Wassberg, Johan Skyttes Väg 202",125 34,Älvsjö,Stockholm,0,2025,0,2012,,,Ny kandidat
Proffs Bygg Mälardalen AB,5592617194,Box 7720,103 95,Stockholm,Stockholm,0,2024,0,2020,,,Ny kandidat
Priman Build AB,5595593657,Kungsbro Strand 29,112 26,Stockholm,Stockholm,,,1-4,2025,,,Ny kandidat
Prefabvision AB,5593715120,"c/o PREFABVISION BEMANNING AB, Hammarby Allé 15 a",120 32,Stockholm,Stockholm,,,0,2022,,,Ny kandidat
PortPro AB,5566966247,Boktryckarvägen 40,129 33,Hägersten,Stockholm,0,2025,0,2006,,,Ny kandidat
Poolia Solutions AB,5565588141,Vasagatan 7,111 20,Stockholm,Stockholm,0,2024,1-4,1998,,,Ny kandidat
Pokayoke Drift AB,5595268557,Warfvinges Väg 29,112 51,Stockholm,Stockholm,0,2025,0,2025,,,Ny kandidat
Pharma Team Sweden AB,5591243943,Lupinvägen 1 a,165 59,Hässelby,Stockholm,0,2025,0,2017,,,Ny kandidat
Perper Stockholm AB,5565556221,Skedviksvägen 50,120 54,Årsta,Stockholm,0,2024,0,1998,,,Ny kandidat
Perlborg Event Crew AB,5590338702,Sandalmakarbacken 13,126 39,Hägersten,Stockholm,0,2024,0,2015,,,Ny kandidat
Peak Vitality Ventures AB,5593524571,Fyrskeppsvägen 65,121 54,Johanneshov,Stockholm,0,2024,0,2021,,,Ny kandidat
Paloma matcafé och catering AB,5595689240,Rålambsvägen 72,112 56,Stockholm,Stockholm,,,1-4,2026,,,Ny kandidat
"Oy Doratone Ab, Finland Filial",5164046517,Kungsholmstorg 13 a,112 21,Stockholm,Stockholm,,,0,2008,,,Ny kandidat
